order_date,storekey,productkey,currency_code,total_quantity,order_count,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,unit_cost_flagged,unit_price_flagged,price_mismatch_flagged,country,state,square_meters,open_date,square_meters_flagged,open_date_flagged,rate_date,currency,exchange,revenue_usd,cost_usd,margin_usd
2016-01-01,0,123,EUR,1,1,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.76,279.99,201,Televisions,2,TV and Video,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-01,EUR,0.9185,257.170815,118.26606,138.90475500000002
2016-01-01,0,373,CAD,1,1,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2,326.0,301,Laptops,3,Computers,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-01,CAD,1.3884,452.6184,230.75208,221.86632
2016-01-01,0,618,CAD,5,1,WWI Screen 113in M1610 Black,Wide World Importers,Black,99.06,299.0,305,Projectors & Screens,3,Computers,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-01,CAD,1.3884,2075.658,687.67452,1387.9834799999999
2016-01-01,0,1048,USD,2,1,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.47,427.0,402,Digital SLR Cameras,4,Cameras and camcorders,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-01,USD,1.0,854.0,282.94,571.06
2016-01-01,0,1080,CAD,4,1,Contoso SLR Camera X143 Silver,Contoso,Silver,214.03,646.0,402,Digital SLR Cameras,4,Cameras and camcorders,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-01,CAD,1.3884,3587.6256000000003,1188.6370080000002,2398.988592
2016-01-01,0,1106,CAD,7,1,Contoso SLR Camera M146 Orange,Contoso,Orange,148.08,322.0,402,Digital SLR Cameras,4,Cameras and camcorders,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-01,CAD,1.3884,3129.4536000000003,1439.1599040000003,1690.293696
2016-01-01,0,1700,EUR,2,1,SV Hand Games women M40 Red,Southridge Video,Red,4.08,8.88,701,Boxed Games,7,Games and Toys,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-01,EUR,0.9185,16.31256,7.49496,8.817600000000002
2016-01-01,0,2007,USD,1,1,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Black,220.64,665.94,803,Microwaves,8,Home Appliances,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-01,USD,1.0,665.94,220.64,445.30000000000007
2016-01-01,9,1648,CAD,1,1,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Black,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,Canada,Northwest Territories,1500.0,2005-03-04,False,False,2016-01-01,CAD,1.3884,152.710116,77.861472,74.848644
2016-01-01,10,1304,CAD,1,1,Contoso Lens Adapter M450 White,Contoso,White,31.27,68.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,False,False,False,Canada,Nunavut,1210.0,2015-04-04,False,False,2016-01-01,CAD,1.3884,94.41120000000001,43.415268000000005,50.995932
